study_accession	sample_accession	experiment_accession	run_accession	library_strategy	read_count	experiment_title	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	sra_aspera	sample_alias	sample_title
PRJEB6070	SAMEA2448341	ERX441308	ERR475477	AMPLICON	117131	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475477/ERR475477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475477/ERR475477_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475477/ERR475477_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475477/ERR475477_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475477/CCIS24327434ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475477/CCIS24327434ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475477	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475477	CCIS24327434ST	Human stool sample from host FR-105
PRJEB6070	SAMEA2448342	ERX441309	ERR475478	AMPLICON	313848	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475478/ERR475478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475478/ERR475478_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475478/ERR475478_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475478/ERR475478_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475478/CCIS59196468ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475478/CCIS59196468ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475478	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475478	CCIS59196468ST	Human stool sample from host FR-110
PRJEB6070	SAMEA2448343	ERX441310	ERR475479	AMPLICON	119250	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475479/ERR475479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475479/ERR475479_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475479/ERR475479_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475479/ERR475479_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475479/CCIS65548065ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475479/CCIS65548065ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475479	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475479	CCIS65548065ST	Human stool sample from host FR-113
PRJEB6070	SAMEA2448344	ERX441311	ERR475480	AMPLICON	92364	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475480/ERR475480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475480/ERR475480_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475480/ERR475480_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475480/ERR475480_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475480/CCIS61937954ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475480/CCIS61937954ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475480	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475480	CCIS61937954ST	Human stool sample from host FR-115
PRJEB6070	SAMEA2448345	ERX441312	ERR475481	AMPLICON	127571	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475481/ERR475481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475481/ERR475481_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475481/ERR475481_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475481/ERR475481_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475481/CCIS89977836ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475481/CCIS89977836ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475481	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475481	CCIS89977836ST	Human stool sample from host FR-116
PRJEB6070	SAMEA2448346	ERX441313	ERR475482	AMPLICON	111076	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475482/ERR475482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475482/ERR475482_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475482/ERR475482_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475482/ERR475482_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475482/CCIS29914246ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475482/CCIS29914246ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475482	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475482	CCIS29914246ST	Human stool sample from host FR-125
PRJEB6070	SAMEA2448347	ERX441314	ERR475483	AMPLICON	105518	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475483/ERR475483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475483/ERR475483_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475483/ERR475483_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475483/ERR475483_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475483/CCIS56824393ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475483/CCIS56824393ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475483	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475483	CCIS56824393ST	Human stool sample from host FR-129
PRJEB6070	SAMEA2448348	ERX441315	ERR475484	AMPLICON	126548	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475484/ERR475484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475484/ERR475484_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475484/ERR475484_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475484/ERR475484_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475484/CCIS42036201ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475484/CCIS42036201ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475484	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475484	CCIS42036201ST	Human stool sample from host FR-132
PRJEB6070	SAMEA2448349	ERX441316	ERR475485	AMPLICON	139807	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475485/ERR475485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475485/ERR475485_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475485/ERR475485_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475485/ERR475485_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475485/CCIS67522136ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475485/CCIS67522136ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475485	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475485	CCIS67522136ST	Human stool sample from host FR-139
PRJEB6070	SAMEA2448350	ERX441317	ERR475486	AMPLICON	83525	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475486/ERR475486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475486/ERR475486_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475486/ERR475486_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475486/ERR475486_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475486/CCIS14154266ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475486/CCIS14154266ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475486	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475486	CCIS14154266ST	Human stool sample from host FR-142
PRJEB6070	SAMEA2448351	ERX441318	ERR475487	AMPLICON	120006	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475487/ERR475487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475487/ERR475487_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475487/ERR475487_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475487/ERR475487_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475487/CCIS47958380ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475487/CCIS47958380ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475487	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475487	CCIS47958380ST	Human stool sample from host FR-152
PRJEB6070	SAMEA2448352	ERX441319	ERR475488	AMPLICON	81391	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475488/ERR475488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475488/ERR475488_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475488/ERR475488_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475488/ERR475488_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475488/CCIS56195468ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475488/CCIS56195468ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475488	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475488	CCIS56195468ST	Human stool sample from host FR-156
PRJEB6070	SAMEA2448353	ERX441320	ERR475489	AMPLICON	99921	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475489/ERR475489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475489/ERR475489_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475489/ERR475489_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475489/ERR475489_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475489/CCIS25590600ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475489/CCIS25590600ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475489	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475489	CCIS25590600ST	Human stool sample from host FR-161
PRJEB6070	SAMEA2448354	ERX441321	ERR475490	AMPLICON	116773	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475490/ERR475490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475490/ERR475490_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475490/ERR475490_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475490/ERR475490_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475490/CCIS18114235ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475490/CCIS18114235ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475490	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475490	CCIS18114235ST	Human stool sample from host FR-162
PRJEB6070	SAMEA2448355	ERX441322	ERR475491	AMPLICON	81388	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475491/ERR475491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475491/ERR475491_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475491/ERR475491_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475491/ERR475491_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475491/CCIS21291604ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475491/CCIS21291604ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475491	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475491	CCIS21291604ST	Human stool sample from host FR-166
PRJEB6070	SAMEA2448356	ERX441323	ERR475492	AMPLICON	64567	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475492/ERR475492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475492/ERR475492_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475492/ERR475492_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475492/ERR475492_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475492/CCIS13191749ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475492/CCIS13191749ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475492	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475492	CCIS13191749ST	Human stool sample from host FR-169
PRJEB6070	SAMEA2448357	ERX441324	ERR475493	AMPLICON	414692	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475493/ERR475493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475493/ERR475493_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475493/ERR475493_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475493/ERR475493_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475493/CCIS26191841ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475493/CCIS26191841ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475493	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475493	CCIS26191841ST	Human stool sample from host FR-170
PRJEB6070	SAMEA2448358	ERX441325	ERR475494	AMPLICON	82000	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475494/ERR475494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475494/ERR475494_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475494/ERR475494_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475494/ERR475494_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475494/CCIS83911865ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475494/CCIS83911865ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475494	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475494	CCIS83911865ST	Human stool sample from host FR-173
PRJEB6070	SAMEA2448359	ERX441326	ERR475495	AMPLICON	113483	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475495/ERR475495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475495/ERR475495_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475495/ERR475495_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475495/ERR475495_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475495/CCIS44102178ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475495/CCIS44102178ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475495	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475495	CCIS44102178ST	Human stool sample from host FR-187
PRJEB6070	SAMEA2448360	ERX441327	ERR475496	AMPLICON	106328	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475496/ERR475496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475496/ERR475496_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475496/ERR475496_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475496/ERR475496_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475496/CCIS77266691ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475496/CCIS77266691ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475496	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475496	CCIS77266691ST	Human stool sample from host FR-191
