species_tax_id,genus_tax_id,metabolism,gram_stain,pathways,substrate,sporulation,motility,cell_shape
1908260,1960084,microaerophilic,NA,"NA","NA",NA,NA,NA
1906745,1960084,microaerophilic,NA,"NA","NA",NA,NA,NA
1908263,1960084,microaerophilic,NA,"NA","NA",NA,NA,NA
1173502,1649494,microaerophilic,NA,"NA","NA",NA,NA,NA
1465501,2077,microaerophilic,NA,"NA","NA",NA,NA,NA
1579424,1301,microaerophilic,NA,"NA","NA",NA,NA,NA
1640501,1301,microaerophilic,NA,"NA","NA",NA,NA,NA
1432788,1301,microaerophilic,NA,"NA","NA",NA,NA,NA
1451356,1301,microaerophilic,NA,"NA","NA",NA,NA,NA
1547447,1301,microaerophilic,NA,"NA","NA",NA,NA,NA
1936207,1301,microaerophilic,NA,"NA","NA",NA,NA,NA
1581472,1301,microaerophilic,NA,"NA","NA",NA,NA,NA
1562651,1301,microaerophilic,NA,"NA","NA",NA,NA,NA
1177728,184869,microaerophilic,NA,"NA","NA",NA,NA,NA
1808945,417127,microaerophilic,NA,"NA","NA",NA,NA,NA
1416943,2767888,anaerobic,NA,"NA","NA",NA,NA,NA
1229250,1615910,aerobic,NA,"NA","NA",NA,NA,NA
1081799,1649507,aerobic,NA,"NA","NA",NA,NA,NA
1323370,171003,anaerobic,NA,"NA","NA",NA,NA,NA
192731,170610,aerobic,NA,"NA","NA",NA,NA,NA
1395,129337,facultative,NA,"NA","NA",NA,NA,NA
187311,1754,anaerobic,NA,"NA","NA",NA,NA,NA
92642,939,aerobic,NA,"NA","NA",NA,NA,NA
202206,133,facultative,NA,"NA","NA",NA,NA,NA
29469,133,facultative,NA,"NA","NA",NA,NA,NA
29470,133,facultative,NA,"NA","NA",NA,NA,NA
29425,429,facultative,NA,"NA","NA",NA,NA,NA
202205,429,facultative,NA,"NA","NA",NA,NA,NA
29426,429,facultative,NA,"NA","NA",NA,NA,NA
207809,2284,aerobic,NA,"NA","NA",NA,NA,NA
907462,1437109,facultative,NA,"NA","NA",NA,NA,NA
1664,1663,aerobic,NA,"NA","NA",NA,NA,NA
1592106,392733,aerobic,NA,"NA","NA",NA,NA,NA
117209,872,anaerobic,NA,"NA","NA",NA,NA,NA
1004305,1121,NA,NA,"NA","NA",NA,NA,NA
1173,1163,NA,NA,"NA","NA",NA,NA,NA
1675854,1792300,NA,NA,"NA","NA",NA,NA,NA
879566,1427378,NA,NA,"NA","NA",NA,NA,NA
1332824,434,NA,NA,"NA","NA",NA,NA,NA
864732,434,NA,NA,"NA","NA",NA,NA,NA
1114982,222,NA,NA,"NA","NA",NA,NA,NA
223,222,NA,NA,"NA","NA",NA,NA,NA
224,222,NA,NA,"NA","NA",NA,NA,NA
1353889,222,NA,NA,"NA","NA",NA,NA,NA
1229656,1549619,NA,NA,"NA","NA",NA,NA,NA
1560006,1000999,NA,NA,"NA","NA",NA,NA,NA
1689834,119977,NA,NA,"NA","NA",NA,NA,NA
1303579,50709,NA,NA,"NA","NA",NA,NA,NA
1443941,469,NA,NA,"NA","NA",NA,NA,NA
1255681,469,NA,NA,"NA","NA",NA,NA,NA
474,469,NA,NA,"NA","NA",NA,NA,NA
465797,469,NA,NA,"NA","NA",NA,NA,NA
1490222,667113,NA,NA,"NA","NA",NA,NA,NA
721,713,facultative,NA,"NA","NA",NA,NA,NA
1677853,58108,NA,NA,"NA","NA",NA,NA,NA
1213861,1891915,NA,NA,"NA","NA",NA,NA,NA
1490288,39845,NA,NA,"NA","NA",NA,NA,NA
1470177,39845,NA,NA,"NA","NA",NA,NA,NA
1819600,1988,NA,NA,"NA","NA",NA,NA,NA
1411117,2019,NA,NA,"NA","NA",NA,NA,NA
1411118,2019,NA,NA,"NA","NA",NA,NA,NA
705336,1988,NA,NA,"NA","NA",NA,NA,NA
1752059,1988,NA,NA,"NA","NA",NA,NA,NA
1763541,1988,NA,NA,"NA","NA",NA,NA,NA
1544727,1988,NA,NA,"NA","NA",NA,NA,NA
360723,1988,NA,NA,"NA","NA",NA,NA,NA
587550,1988,NA,NA,"NA","NA",NA,NA,NA
1955412,1988,NA,NA,"NA","NA",NA,NA,NA
1429076,1988,NA,NA,"NA","NA",NA,NA,NA
1427538,1988,NA,NA,"NA","NA",NA,NA,NA
67268,1883,NA,NA,"NA","NA",NA,NA,NA
67276,1883,NA,NA,"NA","NA",NA,NA,NA
67278,1883,NA,NA,"NA","NA",NA,NA,NA
68181,1883,NA,NA,"NA","NA",NA,NA,NA
67289,1883,NA,NA,"NA","NA",NA,NA,NA
1515090,1883,NA,NA,"NA","NA",NA,NA,NA
80860,1883,NA,NA,"NA","NA",NA,NA,NA
1521758,1883,NA,NA,"NA","NA",NA,NA,NA
68206,1883,NA,NA,"NA","NA",NA,NA,NA
68220,1883,NA,NA,"NA","NA",NA,NA,NA
68227,1883,NA,NA,"NA","NA",NA,NA,NA
67317,1883,NA,NA,"NA","NA",NA,NA,NA
114702,1654,NA,NA,"NA","NA",NA,NA,NA
1520567,1883,NA,NA,"NA","NA",NA,NA,NA
200596,1883,NA,NA,"NA","NA",NA,NA,NA
67323,1883,NA,NA,"NA","NA",NA,NA,NA
68281,1883,NA,NA,"NA","NA",NA,NA,NA
1290095,402649,NA,NA,"NA","NA",NA,NA,NA
663604,402649,NA,NA,"NA","NA",NA,NA,NA
1416876,402649,NA,NA,"NA","NA",NA,NA,NA
878212,402649,NA,NA,"NA","NA",NA,NA,NA
663607,402649,NA,NA,"NA","NA",NA,NA,NA
1768010,695999,NA,NA,"NA","NA",NA,NA,NA
657018,695999,NA,NA,"NA","NA",NA,NA,NA
1468259,695999,NA,NA,"NA","NA",NA,NA,NA
1476870,695999,NA,NA,"NA","NA",NA,NA,NA
657017,695999,NA,NA,"NA","NA",NA,NA,NA
135945,1865,NA,NA,"NA","NA",NA,NA,NA
69485,1865,NA,NA,"NA","NA",NA,NA,NA
1144547,1865,NA,NA,"NA","NA",NA,NA,NA
1547891,1865,NA,NA,"NA","NA",NA,NA,NA
135950,1865,NA,NA,"NA","NA",NA,NA,NA
1050105,1865,NA,NA,"NA","NA",NA,NA,NA
135951,1865,NA,NA,"NA","NA",NA,NA,NA
122364,1865,NA,NA,"NA","NA",NA,NA,NA
122365,1865,NA,NA,"NA","NA",NA,NA,NA
135949,1865,NA,NA,"NA","NA",NA,NA,NA
995059,1849,NA,NA,"NA","NA",NA,NA,NA
1470178,1849,NA,NA,"NA","NA",NA,NA,NA
1034798,1769723,NA,NA,"NA","NA",NA,NA,NA
1524924,1926259,NA,NA,"NA","NA",NA,NA,NA
1445614,1653174,NA,NA,"NA","NA",NA,NA,NA
153268,153265,NA,NA,"NA","NA",NA,NA,NA
1538144,2040,NA,NA,"NA","NA",NA,NA,NA
888831,888829,NA,NA,"NA","NA",NA,NA,NA
324687,1033,NA,NA,"NA","NA",NA,NA,NA
1510455,261825,NA,NA,"NA","NA",NA,NA,NA
1712665,1766253,NA,NA,"NA","NA",NA,NA,NA
1450165,1470623,NA,NA,"NA","NA",NA,NA,NA
76979,357,NA,NA,"NA","NA",NA,NA,NA
285944,NA,NA,NA,"NA","NA",NA,NA,NA
300300,357,NA,NA,"NA","NA",NA,NA,NA
1817495,33877,NA,NA,"NA","NA",NA,NA,NA
758919,33877,NA,NA,"NA","NA",NA,NA,NA
717856,33877,microaerophilic,NA,"NA","NA",NA,NA,NA
1389020,33877,microaerophilic,NA,"NA","NA",NA,NA,NA
717859,33877,microaerophilic,NA,"NA","NA",NA,NA,NA
516,507,NA,NA,"NA","NA",NA,NA,NA
368812,29330,NA,NA,"NA","NA",NA,NA,NA
453840,610116,NA,NA,"NA","NA",NA,NA,NA
1379154,331654,NA,NA,"NA","NA",NA,NA,NA
486507,486506,NA,NA,"NA","NA",NA,NA,NA
522397,114627,NA,NA,"NA","NA",NA,NA,NA
208968,222991,NA,NA,"NA","NA",NA,NA,NA
231048,85072,NA,NA,"NA","NA",NA,NA,NA
1085644,1869285,NA,NA,"NA","NA",NA,NA,NA
1482737,81466,NA,NA,"NA","NA",NA,NA,NA
861532,66862,NA,NA,"NA","NA",NA,NA,NA
216388,216387,NA,NA,"NA","NA",NA,NA,NA
941986,1813,NA,NA,"NA","NA",NA,NA,NA
941987,1813,NA,NA,"NA","NA",NA,NA,NA
185696,1813,NA,NA,"NA","NA",NA,NA,NA
860233,1813,NA,NA,"NA","NA",NA,NA,NA
1181879,1813,NA,NA,"NA","NA",NA,NA,NA
700274,1813,NA,NA,"NA","NA",NA,NA,NA
1450224,1813,NA,NA,"NA","NA",NA,NA,NA
1577442,1813,NA,NA,"NA","NA",NA,NA,NA
589330,1813,NA,NA,"NA","NA",NA,NA,NA
336628,1813,NA,NA,"NA","NA",NA,NA,NA
212361,1163,NA,NA,"NA","NA",NA,NA,NA
119677,748770,NA,NA,"NA","NA",NA,NA,NA
747513,748770,NA,NA,"NA","NA",NA,NA,NA
136073,748770,NA,NA,"NA","NA",NA,NA,NA
136074,748770,NA,NA,"NA","NA",NA,NA,NA
264690,264688,NA,NA,"NA","NA",NA,NA,NA
747522,748770,NA,NA,"NA","NA",NA,NA,NA
445011,1163,NA,NA,"NA","NA",NA,NA,NA
289435,752201,NA,NA,"NA","NA",NA,NA,NA
54295,748770,NA,NA,"NA","NA",NA,NA,NA
747518,748770,NA,NA,"NA","NA",NA,NA,NA
264677,748770,NA,NA,"NA","NA",NA,NA,NA
136072,748770,NA,NA,"NA","NA",NA,NA,NA
747515,748770,NA,NA,"NA","NA",NA,NA,NA
531300,752201,NA,NA,"NA","NA",NA,NA,NA
264682,748770,NA,NA,"NA","NA",NA,NA,NA
135104,748770,NA,NA,"NA","NA",NA,NA,NA
1565291,1163,NA,NA,"NA","NA",NA,NA,NA
289436,748770,NA,NA,"NA","NA",NA,NA,NA
109266,110103,NA,NA,"NA","NA",NA,NA,NA
433338,1634949,NA,NA,"NA","NA",NA,NA,NA
337316,165779,NA,NA,"NA","NA",NA,NA,NA
433286,1843210,NA,NA,"NA","NA",NA,NA,NA
82375,151037,NA,NA,"NA","NA",NA,NA,NA
1417629,1780299,NA,NA,"NA","NA",NA,NA,NA
244830,244825,NA,NA,"NA","NA",NA,NA,NA
1229621,207244,NA,NA,"NA","NA",NA,NA,NA
433293,1843206,NA,NA,"NA","NA",NA,NA,NA
217068,204473,aerobic,NA,"NA","NA",NA,NA,NA
1173302,150247,NA,NA,"NA","NA",NA,NA,NA
1323375,1769008,NA,NA,"NA","NA",NA,NA,NA
1324945,69278,NA,NA,"NA","NA",NA,NA,NA
1168171,1647190,NA,NA,"NA","NA",NA,NA,NA
1303863,406099,NA,NA,"NA","NA",NA,NA,NA
1122256,490567,NA,NA,"NA","NA",NA,NA,NA
1329367,490567,NA,NA,"NA","NA",NA,NA,NA
1384638,1562564,NA,NA,"NA","NA",NA,NA,NA
1384639,1562564,NA,NA,"NA","NA",NA,NA,NA
1742687,1663,NA,NA,"NA","NA",NA,NA,NA
1529066,1663,NA,NA,"NA","NA",NA,NA,NA
516699,1663,NA,NA,"NA","NA",NA,NA,NA
547334,1663,NA,NA,"NA","NA",NA,NA,NA
1441386,1769718,NA,NA,"NA","NA",NA,NA,NA
1541975,212347,NA,NA,"NA","NA",NA,NA,NA
1221450,2800373,NA,NA,"NA","NA",NA,NA,NA
1783502,1386,NA,NA,"NA","NA",NA,NA,NA
641660,2837507,NA,NA,"NA","NA",NA,NA,NA
1494429,1386,NA,NA,"NA","NA",NA,NA,NA
1285900,1386,NA,NA,"NA","NA",NA,NA,NA
1783501,1386,NA,NA,"NA","NA",NA,NA,NA
766894,2675234,NA,NA,"NA","NA",NA,NA,NA
101332,1386,NA,NA,"NA","NA",NA,NA,NA
1504265,2675233,NA,NA,"NA","NA",NA,NA,NA
1291552,1386,NA,NA,"NA","NA",NA,NA,NA
1737571,1386,NA,NA,"NA","NA",NA,NA,NA
992288,1386,NA,NA,"NA","NA",NA,NA,NA
263643,NA,NA,NA,"NA","NA",NA,NA,NA
582418,1386,NA,NA,"NA","NA",NA,NA,NA
1463404,1386,NA,NA,"NA","NA",NA,NA,NA
1548213,2005375,NA,NA,"NA","NA",NA,NA,NA
1114193,1386,NA,NA,"NA","NA",NA,NA,NA
1977292,44249,obligate aerobic,NA,"NA","NA",NA,NA,NA
1745713,1924081,NA,NA,"NA","NA",NA,NA,NA
488621,773,NA,NA,"NA","NA",NA,NA,NA
447587,773,NA,NA,"NA","NA",NA,NA,NA
488622,773,NA,NA,"NA","NA",NA,NA,NA
1472724,232244,NA,NA,"NA","NA",NA,NA,NA
1628,1578,NA,NA,"NA","NA",NA,NA,NA
627618,941338,NA,NA,"NA","NA",NA,NA,NA
1798155,1678,NA,NA,"NA","NA",NA,NA,NA
1798157,1678,NA,NA,"NA","NA",NA,NA,NA
1630172,1678,NA,NA,"NA","NA",NA,NA,NA
1603886,1678,NA,NA,"NA","NA",NA,NA,NA
1630166,1678,NA,NA,"NA","NA",NA,NA,NA
1798158,1678,NA,NA,"NA","NA",NA,NA,NA
1630162,1678,NA,NA,"NA","NA",NA,NA,NA
1564163,38501,NA,NA,"NA","NA",NA,NA,NA
1539051,1654741,NA,NA,"NA","NA",NA,NA,NA
686666,1159909,NA,NA,"NA","NA",NA,NA,NA
1432564,43668,NA,NA,"NA","NA",NA,NA,NA
1541174,43668,NA,NA,"NA","NA",NA,NA,NA
1652028,43668,NA,NA,"NA","NA",NA,NA,NA
235984,29521,NA,NA,"NA","NA",NA,NA,NA
310721,29521,NA,NA,"NA","NA",NA,NA,NA
190148,374,NA,NA,"NA","NA",NA,NA,NA
1549949,374,NA,NA,"NA","NA",NA,NA,NA
908252,908251,NA,NA,"NA","NA",NA,NA,NA
1125967,55080,NA,NA,"NA","NA",NA,NA,NA
1655277,55080,NA,NA,"NA","NA",NA,NA,NA
1707527,55080,NA,NA,"NA","NA",NA,NA,NA
1702,1696,NA,NA,"NA","NA",NA,NA,NA
265178,1854458,NA,NA,"NA","NA",NA,NA,NA
694025,1822464,NA,NA,"NA","NA",NA,NA,NA
1712515,580596,NA,NA,"NA","NA",NA,NA,NA
1674942,1940395,NA,NA,"NA","NA",NA,NA,NA
696074,763439,NA,NA,"NA","NA",NA,NA,NA
391358,196013,NA,NA,"NA","NA",NA,NA,NA
671077,1006480,NA,NA,"NA","NA",NA,NA,NA
189866,44258,NA,NA,"NA","NA",NA,NA,NA
938406,1186,NA,NA,"NA","NA",NA,NA,NA
707171,1186,NA,NA,"NA","NA",NA,NA,NA
1565293,1186,NA,NA,"NA","NA",NA,NA,NA
1335615,1186,NA,NA,"NA","NA",NA,NA,NA
212352,1186,NA,NA,"NA","NA",NA,NA,NA
1973486,1186,NA,NA,"NA","NA",NA,NA,NA
232960,1186,NA,NA,"NA","NA",NA,NA,NA
1887325,1186,NA,NA,"NA","NA",NA,NA,NA
57746,1186,NA,NA,"NA","NA",NA,NA,NA
1337874,53365,NA,NA,"NA","NA",NA,NA,NA
1490215,53365,NA,NA,"NA","NA",NA,NA,NA
367281,53365,NA,NA,"NA","NA",NA,NA,NA
1766719,1792239,NA,NA,"NA","NA",NA,NA,NA
285079,1707,NA,NA,"NA","NA",NA,NA,NA
285080,1707,NA,NA,"NA","NA",NA,NA,NA
1520570,1883,NA,NA,"NA","NA",NA,NA,NA
1348468,28209,NA,NA,"NA","NA",NA,NA,NA
664880,240411,NA,NA,"NA","NA",NA,NA,NA
1132028,1132027,NA,NA,"NA","NA",NA,NA,NA
40839,535,NA,NA,"NA","NA",NA,NA,NA
42739,535,NA,NA,"NA","NA",NA,NA,NA
171392,54298,NA,NA,"NA","NA",NA,NA,NA
380547,70190,NA,NA,"NA","NA",NA,NA,NA
1278643,59732,NA,NA,"NA","NA",NA,NA,NA
1593234,59732,NA,NA,"NA","NA",NA,NA,NA
204089,59732,NA,NA,"NA","NA",NA,NA,NA
161357,161356,NA,NA,"NA","NA",NA,NA,NA
1472040,1485,NA,NA,"NA","NA",NA,NA,NA
33953,1485,NA,NA,"NA","NA",NA,NA,NA
318465,1485,NA,NA,"NA","NA",NA,NA,NA
36840,1485,NA,NA,"NA","NA",NA,NA,NA
1289519,1485,NA,NA,"NA","NA",NA,NA,NA
1367462,1485,NA,NA,"NA","NA",NA,NA,NA
36852,1485,NA,NA,"NA","NA",NA,NA,NA
84033,1485,NA,NA,"NA","NA",NA,NA,NA
1387779,329857,NA,NA,"NA","NA",NA,NA,NA
1520782,28228,NA,NA,"NA","NA",NA,NA,NA
1457523,283,NA,NA,"NA","NA",NA,NA,NA
1211803,283,NA,NA,"NA","NA",NA,NA,NA
909925,1716,NA,NA,"NA","NA",NA,NA,NA
158824,1716,NA,NA,"NA","NA",NA,NA,NA
1758466,1716,NA,NA,"NA","NA",NA,NA,NA
1469605,1716,NA,NA,"NA","NA",NA,NA,NA
41643,1716,NA,NA,"NA","NA",NA,NA,NA
1722,1716,NA,NA,"NA","NA",NA,NA,NA
397277,397276,NA,NA,"NA","NA",NA,NA,NA
184932,56106,NA,NA,"NA","NA",NA,NA,NA
230518,56106,NA,NA,"NA","NA",NA,NA,NA
418417,56106,NA,NA,"NA","NA",NA,NA,NA
394092,42,NA,NA,"NA","NA",NA,NA,NA
1312736,978,NA,NA,"NA","NA",NA,NA,NA
1434730,35753,NA,NA,"NA","NA",NA,NA,NA
1758122,35753,NA,NA,"NA","NA",NA,NA,NA
759814,1298,NA,NA,"NA","NA",NA,NA,NA
1049582,1298,NA,NA,"NA","NA",NA,NA,NA
54300,688242,NA,NA,"NA","NA",NA,NA,NA
387437,2863280,NA,NA,"NA","NA",NA,NA,NA
182984,35836,NA,NA,"NA","NA",NA,NA,NA
1117177,396320,NA,NA,"NA","NA",NA,NA,NA
1261393,1549126,NA,NA,"NA","NA",NA,NA,NA
241365,2295,NA,NA,"NA","NA",NA,NA,NA
453214,2295,NA,NA,"NA","NA",NA,NA,NA
453220,893,NA,NA,"NA","NA",NA,NA,NA
426706,898,NA,NA,"NA","NA",NA,NA,NA
426707,898,NA,NA,"NA","NA",NA,NA,NA
1506996,1654934,NA,NA,"NA","NA",NA,NA,NA
1537568,872,NA,NA,"NA","NA",NA,NA,NA
241368,872,NA,NA,"NA","NA",NA,NA,NA
394294,872,NA,NA,"NA","NA",NA,NA,NA
478149,872,NA,NA,"NA","NA",NA,NA,NA
435911,872,NA,NA,"NA","NA",NA,NA,NA
1523623,890,NA,NA,"NA","NA",NA,NA,NA
133535,47054,NA,NA,"NA","NA",NA,NA,NA
133532,47054,NA,NA,"NA","NA",NA,NA,NA
133534,47054,NA,NA,"NA","NA",NA,NA,NA
1288495,238749,NA,NA,"NA","NA",NA,NA,NA
1715720,238749,NA,NA,"NA","NA",NA,NA,NA
243064,37914,NA,NA,"NA","NA",NA,NA,NA
1714016,1433999,NA,NA,"NA","NA",NA,NA,NA
1078754,120831,NA,NA,"NA","NA",NA,NA,NA
1749036,120831,NA,NA,"NA","NA",NA,NA,NA
1720294,1432051,NA,NA,"NA","NA",NA,NA,NA
1776384,1926556,NA,NA,"NA","NA",NA,NA,NA
1521434,1164863,NA,NA,"NA","NA",NA,NA,NA
1521435,1164863,NA,NA,"NA","NA",NA,NA,NA
539813,547,NA,NA,"NA","NA",NA,NA,NA
1849603,NA,NA,NA,"NA","NA",NA,NA,NA
1080227,188143,NA,NA,"NA","NA",NA,NA,NA
1337094,1649284,NA,NA,"NA","NA",NA,NA,NA
1653844,551,NA,NA,"NA","NA",NA,NA,NA
1464038,1582879,NA,NA,"NA","NA",NA,NA,NA
915173,1573536,NA,NA,"NA","NA",NA,NA,NA
433279,1890291,NA,NA,"NA","NA",NA,NA,NA
1309795,1604696,NA,NA,"NA","NA",NA,NA,NA
1610490,1329200,NA,NA,"NA","NA",NA,NA,NA
1084520,1789690,NA,NA,"NA","NA",NA,NA,NA
1264931,237,NA,NA,"NA","NA",NA,NA,NA
1653845,237,NA,NA,"NA","NA",NA,NA,NA
255,286,NA,NA,"NA","NA",NA,NA,NA
1520671,237,NA,NA,"NA","NA",NA,NA,NA
1197,188910,NA,NA,"NA","NA",NA,NA,NA
1743263,29404,NA,NA,"NA","NA",NA,NA,NA
1759536,29404,NA,NA,"NA","NA",NA,NA,NA
1522176,96492,NA,NA,"NA","NA",NA,NA,NA
1495200,155196,NA,NA,"NA","NA",NA,NA,NA
1488331,76008,NA,NA,"NA","NA",NA,NA,NA
1137990,1860,NA,NA,"NA","NA",NA,NA,NA
1523247,1860,NA,NA,"NA","NA",NA,NA,NA
1347788,767528,NA,NA,"NA","NA",NA,NA,NA
195750,28233,NA,NA,"NA","NA",NA,NA,NA
1510569,929812,NA,NA,"NA","NA",NA,NA,NA
1463159,1229970,NA,NA,"NA","NA",NA,NA,NA
1357543,102231,NA,NA,"NA","NA",NA,NA,NA
1407560,58113,NA,NA,"NA","NA",NA,NA,NA
1407559,58113,NA,NA,"NA","NA",NA,NA,NA
942029,58113,NA,NA,"NA","NA",NA,NA,NA
256036,58113,NA,NA,"NA","NA",NA,NA,NA
1268671,58113,NA,NA,"NA","NA",NA,NA,NA
339863,2053,NA,NA,"NA","NA",NA,NA,NA
1517702,2053,NA,NA,"NA","NA",NA,NA,NA
1401441,74385,NA,NA,"NA","NA",NA,NA,NA
470774,74385,NA,NA,"NA","NA",NA,NA,NA
741063,940557,NA,NA,"NA","NA",NA,NA,NA
1542726,1195526,NA,NA,"NA","NA",NA,NA,NA
553429,679158,NA,NA,"NA","NA",NA,NA,NA
1073081,744724,anaerobic,NA,"NA","NA",NA,NA,NA
1348266,1217101,NA,NA,"NA","NA",NA,NA,NA
1176239,45667,NA,NA,"NA","NA",NA,NA,NA
554880,45667,NA,NA,"NA","NA",NA,NA,NA
1109010,2251,NA,NA,"NA","NA",NA,NA,NA
1748331,2251,NA,NA,"NA","NA",NA,NA,NA
1380675,1755832,NA,NA,"NA","NA",NA,NA,NA
1258546,2745,NA,NA,"NA","NA",NA,NA,NA
390919,2745,NA,NA,"NA","NA",NA,NA,NA
1329370,2745,NA,NA,"NA","NA",NA,NA,NA
980347,2745,NA,NA,"NA","NA",NA,NA,NA
470784,2745,NA,NA,"NA","NA",NA,NA,NA
531306,1739105,NA,NA,"NA","NA",NA,NA,NA
1348092,1649455,NA,NA,"NA","NA",NA,NA,NA
361576,576341,NA,NA,"NA","NA",NA,NA,NA
1742688,1121254,NA,NA,"NA","NA",NA,NA,NA
281980,209,NA,NA,"NA","NA",NA,NA,NA
63760,209,NA,NA,"NA","NA",NA,NA,NA
1872711,1884922,NA,NA,"NA","NA",NA,NA,NA
1755582,697025,NA,NA,"NA","NA",NA,NA,NA
1274318,NA,NA,NA,"NA","NA",NA,NA,NA
1069963,53457,NA,NA,"NA","NA",NA,NA,NA
1730378,1434010,NA,NA,"NA","NA",NA,NA,NA
1524084,281472,NA,NA,"NA","NA",NA,NA,NA
1365924,2029,NA,NA,"NA","NA",NA,NA,NA
1497396,2029,NA,NA,"NA","NA",NA,NA,NA
1070872,33981,NA,NA,"NA","NA",NA,NA,NA
257285,2063,NA,NA,"NA","NA",NA,NA,NA
876450,57493,NA,NA,"NA","NA",NA,NA,NA
1540520,182639,NA,NA,"NA","NA",NA,NA,NA
722689,182639,NA,NA,"NA","NA",NA,NA,NA
1380685,1274351,NA,NA,"NA","NA",NA,NA,NA
1380684,1274351,NA,NA,"NA","NA",NA,NA,NA
1483604,43356,NA,NA,"NA","NA",NA,NA,NA
1523160,390250,NA,NA,"NA","NA",NA,NA,NA
760261,1508421,NA,NA,"NA","NA",NA,NA,NA
1627,1578,NA,NA,"NA","NA",NA,NA,NA
45060,445,NA,NA,"NA","NA",NA,NA,NA
683042,55968,NA,NA,"NA","NA",NA,NA,NA
1494430,55968,NA,NA,"NA","NA",NA,NA,NA
1123558,55968,NA,NA,"NA","NA",NA,NA,NA
1257004,55968,NA,NA,"NA","NA",NA,NA,NA
1783352,1874625,NA,NA,"NA","NA",NA,NA,NA
718191,1264044,NA,NA,"NA","NA",NA,NA,NA
1639882,1804994,NA,NA,"NA","NA",NA,NA,NA
637577,242605,NA,NA,"NA","NA",NA,NA,NA
1054550,754249,NA,NA,"NA","NA",NA,NA,NA
1343102,33983,NA,NA,"NA","NA",NA,NA,NA
1581411,518753,NA,NA,"NA","NA",NA,NA,NA
212353,28073,NA,NA,"NA","NA",NA,NA,NA
28074,28073,NA,NA,"NA","NA",NA,NA,NA
720633,400634,NA,NA,"NA","NA",NA,NA,NA
1130819,400634,NA,NA,"NA","NA",NA,NA,NA
1173107,400634,NA,NA,"NA","NA",NA,NA,NA
1685901,68,NA,NA,"NA","NA",NA,NA,NA
1792846,68,NA,NA,"NA","NA",NA,NA,NA
1141882,68,NA,NA,"NA","NA",NA,NA,NA
1169913,1649512,NA,NA,"NA","NA",NA,NA,NA
1529639,451512,NA,NA,"NA","NA",NA,NA,NA
1634059,647960,NA,NA,"NA","NA",NA,NA,NA
1444977,1930860,NA,NA,"NA","NA",NA,NA,NA
1642469,1649467,NA,NA,"NA","NA",NA,NA,NA
1397367,1649467,NA,NA,"NA","NA",NA,NA,NA
190514,2742,NA,NA,"NA","NA",NA,NA,NA
578215,2742,NA,NA,"NA","NA",NA,NA,NA
92949,28253,NA,NA,"NA","NA",NA,NA,NA
661483,86795,NA,NA,"NA","NA",NA,NA,NA
1542737,86795,NA,NA,"NA","NA",NA,NA,NA
1542736,86795,NA,NA,"NA","NA",NA,NA,NA
864828,149698,NA,NA,"NA","NA",NA,NA,NA
879612,906,NA,NA,"NA","NA",NA,NA,NA
