,Sample Name,run_accession,analyte_type,submitted_subject_id
195,700038984,SRR045866,G_DNA_Tongue dorsum,370027359.0
196,700038763,SRR045868,G_DNA_Saliva,508703490.0
198,700038777,SRR045870,G_DNA_Throat,508703490.0
199,700038793,SRR045871,G_DNA_Vaginal introitus,508703490.0
200,700038795,SRR045873,G_DNA_Mid vagina,508703490.0
201,700038596,SRR045874,G_DNA_Saliva,404239096.0
202,700038988,SRR045876,G_DNA_Buccal mucosa,370027359.0
203,700038604,SRR045877,G_DNA_Buccal mucosa,404239096.0
205,700038779,SRR045911,G_DNA_Supragingival plaque,508703490.0
206,700038990,SRR045913,G_DNA_Attached/Keratinized gingiva,370027359.0
207,700038608,SRR045914,G_DNA_Palatine Tonsils,404239096.0
208,700038976,SRR045915,G_DNA_Anterior nares,370027359.0
209,700038998,SRR045920,G_DNA_Subgingival plaque,370027359.0
210,700038626,SRR045921,G_DNA_Stool,404239096.0
211,700038775,SRR045922,G_DNA_Palatine Tonsils,508703490.0
212,700038610,SRR045923,G_DNA_Throat,404239096.0
213,700038781,SRR045925,G_DNA_Subgingival plaque,508703490.0
214,700038797,SRR045926,G_DNA_Posterior fornix,508703490.0
224,700038950,SRR046037,G_DNA_Stool,355657046.0
242,700038996,SRR046055,G_DNA_Supragingival plaque,370027359.0
243,700038761,SRR046056,G_DNA_Stool,508703490.0
245,700038992,SRR046058,G_DNA_Palatine Tonsils,370027359.0
246,700038948,SRR046059,G_DNA_Anterior nares,355657046.0
247,700024165,SRR046060,G_DNA_Saliva,764245047.0
250,700023910,SRR046063,G_DNA_R_Antecubital fossa,764143897.0
251,700024827,SRR046064,G_DNA_Saliva,764366428.0
252,700038512,SRR046065,G_DNA_Palatine Tonsils,763476303.0
253,700038100,SRR046066,G_DNA_R_Antecubital fossa,765620695.0
254,700023660,SRR046067,G_DNA_L_Antecubital fossa,764062976.0
258,700023558,SRR046071,G_DNA_Saliva,763860675.0
260,700038482,SRR046073,G_DNA_Anterior nares,763536994.0
261,700038452,SRR046074,G_DNA_Saliva,763536994.0
263,700023325,SRR046076,G_DNA_R_Antecubital fossa,763597684.0
265,700024155,SRR046078,G_DNA_R_Antecubital fossa,764245047.0
268,700023672,SRR046081,G_DNA_Saliva,764062976.0
270,700024185,SRR046083,G_DNA_Subgingival plaque,764245047.0
272,700037816,SRR046085,G_DNA_Saliva,765337473.0
273,700023908,SRR046086,G_DNA_L_Antecubital fossa,764143897.0
274,700023255,SRR046087,G_DNA_Throat,763840445.0
276,700023798,SRR046089,G_DNA_Anterior nares,763901136.0
277,700038500,SRR046090,G_DNA_Saliva,763476303.0
281,700023664,SRR046094,G_DNA_Anterior nares,764062976.0
282,700023323,SRR046095,G_DNA_L_Antecubital fossa,763597684.0
284,700038033,SRR046097,G_DNA_Saliva,763597684.0
285,700106034,SRR046098,G_DNA_Throat,764184357.0
288,700021872,SRR046101,G_DNA_Saliva,763536994.0
290,700024521,SRR046103,G_DNA_Saliva,764002286.0
291,700023658,SRR046104,G_DNA_R_Retroauricular crease,764062976.0
292,700038548,SRR046105,G_DNA_Saliva,763880905.0
294,700033483,SRR046239,G_DNA_R_Retroauricular crease,159470302.0
295,700105753,SRR046367,G_DNA_Palatine Tonsils,764447348.0
296,700106617,SRR046368,G_DNA_Saliva,763982056.0
299,700105296,SRR046371,G_DNA_Attached/Keratinized gingiva,764325968.0
301,700105759,SRR046373,G_DNA_Subgingival plaque,764447348.0
302,700105747,SRR046374,G_DNA_Hard palate,764447348.0
303,700114076,SRR046375,G_DNA_Buccal mucosa,764062976.0
305,700114102,SRR046377,G_DNA_Mid vagina,764062976.0
307,700106665,SRR046379,G_DNA_Saliva,764224817.0
309,700105284,SRR046381,G_DNA_Anterior nares,764325968.0
310,700103674,SRR046382,G_DNA_Saliva,763759525.0
311,700105755,SRR046383,G_DNA_Throat,764447348.0
314,700114088,SRR046386,G_DNA_Subgingival plaque,764062976.0
315,700106878,SRR046387,G_DNA_Saliva,764811490.0
317,700103593,SRR046389,G_DNA_Hard palate,863126187.0
318,700105666,SRR046390,G_DNA_Subgingival plaque,953045535.0
319,700103591,SRR046391,G_DNA_Tongue dorsum,863126187.0
320,700106372,SRR046392,G_DNA_Attached/Keratinized gingiva,289996019.0
322,700106380,SRR046394,G_DNA_Subgingival plaque,289996019.0
323,700103639,SRR046395,G_DNA_Supragingival plaque,765094712.0
326,700103595,SRR046398,G_DNA_Buccal mucosa,863126187.0
327,700106085,SRR046399,G_DNA_Anterior nares,737052003.0
329,700106142,SRR046401,G_DNA_Anterior nares,706846339.0
330,700106350,SRR046402,G_DNA_Stool,289996019.0
332,700105654,SRR046404,G_DNA_Hard palate,953045535.0
334,700106647,SRR046406,G_DNA_Stool,763982056.0
335,700106930,SRR046407,G_DNA_Stool,517810313.0
336,700106326,SRR046408,G_DNA_Stool,550534656.0
337,700106579,SRR046409,G_DNA_Stool,208027353.0
338,700106723,SRR046410,G_DNA_Stool,184349034.0
339,700105904,SRR046411,G_DNA_Stool,668248235.0
340,700103499,SRR046412,G_DNA_Stool,132902142.0
341,700105087,SRR046413,G_DNA_Stool,178713055.0
342,700105632,SRR046414,G_DNA_Stool,953045535.0
343,700103327,SRR046415,G_DNA_Stool,682449369.0
344,700103575,SRR046416,G_DNA_Stool,863126187.0
345,700105822,SRR046417,G_DNA_Stool,375450439.0
346,700105001,SRR046418,G_DNA_Stool,275382046.0
347,700106542,SRR046419,G_DNA_Stool,553359145.0
348,700103328,SRR046420,G_DNA_Stool,465578759.0
349,700106784,SRR046421,G_DNA_Stool,857980665.0
350,700114045,SRR046470,G_DNA_R_Antecubital fossa,763395383.0
351,700114147,SRR046471,G_DNA_L_Retroauricular crease,763840445.0
352,700105538,SRR046472,G_DNA_R_Retroauricular crease,765155402.0
353,700106134,SRR046473,G_DNA_L_Retroauricular crease,706846339.0
354,700106136,SRR046474,G_DNA_R_Retroauricular crease,706846339.0
355,700105763,SRR046475,G_DNA_R_Retroauricular crease,764447348.0
356,700103470,SRR046476,G_DNA_R_Retroauricular crease,763860675.0
357,700105709,SRR046477,G_DNA_R_Retroauricular crease,763456073.0
358,700103643,SRR046478,G_DNA_L_Retroauricular crease,765094712.0
359,700106077,SRR046479,G_DNA_L_Retroauricular crease,737052003.0
360,700106190,SRR046480,G_DNA_R_Retroauricular crease,823052294.0
361,700106637,SRR046481,G_DNA_L_Retroauricular crease,763982056.0
362,700114043,SRR046482,G_DNA_L_Antecubital fossa,763395383.0
363,700103696,SRR046483,G_DNA_R_Retroauricular crease,763759525.0
364,700106821,SRR046484,G_DNA_L_Retroauricular crease,764143897.0
365,700106823,SRR046485,G_DNA_R_Retroauricular crease,764143897.0
366,700105228,SRR046486,G_DNA_R_Antecubital fossa,763820215.0
367,700106079,SRR046487,G_DNA_R_Retroauricular crease,737052003.0
368,700106192,SRR046488,G_DNA_L_Antecubital fossa,823052294.0
369,700105276,SRR046489,G_DNA_L_Retroauricular crease,764325968.0
370,700105394,SRR046490,G_DNA_L_Retroauricular crease,764487809.0
371,700106687,SRR046491,G_DNA_R_Retroauricular crease,764224817.0
372,700105707,SRR046492,G_DNA_L_Retroauricular crease,763456073.0
373,700105278,SRR046493,G_DNA_R_Retroauricular crease,764325968.0
374,700103649,SRR046494,G_DNA_R_Antecubital fossa,765094712.0
375,700103694,SRR046495,G_DNA_L_Retroauricular crease,763759525.0
376,700106904,SRR046496,G_DNA_R_Antecubital fossa,764811490.0
377,700105848,SRR046497,G_DNA_R_Retroauricular crease,763516763.0
378,700106261,SRR046498,G_DNA_L_Retroauricular crease,675950834.0
379,700103647,SRR046499,G_DNA_L_Antecubital fossa,765094712.0
380,700106689,SRR046500,G_DNA_L_Antecubital fossa,764224817.0
384,700037773,SRR046512,G_DNA_Throat,765377934.0
386,700038773,SRR046514,G_DNA_Attached/Keratinized gingiva,508703490.0
394,700038416,SRR046522,G_DNA_Saliva,765701615.0
395,700038318,SRR046523,G_DNA_Mid vagina,765661155.0
403,700106026,SRR046531,G_DNA_Hard palate,764184357.0
405,700024519,SRR046569,G_DNA_Anterior nares,764002286.0
412,700037102,SRR046577,G_DNA_Attached/Keratinized gingiva,765155402.0
414,700023631,SRR046584,G_DNA_Anterior nares,763880905.0
415,700037327,SRR046589,G_DNA_R_Retroauricular crease,765256553.0
417,700021836,SRR046593,G_DNA_Anterior nares,763678604.0
423,700037214,SRR046625,G_DNA_Palatine Tonsils,765013792.0
426,700021697,SRR046635,G_DNA_Tongue dorsum,763516763.0
430,700023309,SRR046643,G_DNA_Buccal mucosa,763597684.0
437,700038928,SRR046676,G_DNA_Buccal mucosa,355657046.0
438,700105648,SRR047125,G_DNA_Saliva,953045535.0
439,700105992,SRR047126,G_DNA_Anterior nares,465578759.0
440,700114068,SRR047127,G_DNA_Saliva,764062976.0
442,700106906,SRR047129,G_DNA_Anterior nares,764811490.0
443,700103585,SRR047130,G_DNA_Anterior nares,863126187.0
444,700105741,SRR047131,G_DNA_Saliva,764447348.0
445,700114023,SRR047132,G_DNA_Tongue dorsum,763395383.0
446,700103623,SRR047133,G_DNA_Saliva,765094712.0
447,700105769,SRR047134,G_DNA_Anterior nares,764447348.0
449,700105598,SRR047136,G_DNA_Hard palate,765074482.0
450,700105600,SRR047137,G_DNA_Buccal mucosa,765074482.0
454,700106693,SRR047141,G_DNA_Anterior nares,764224817.0
456,700105254,SRR047143,G_DNA_Throat,763820215.0
458,700105656,SRR047145,G_DNA_Buccal mucosa,953045535.0
459,700105447,SRR047146,G_DNA_Anterior nares,763557224.0
460,700105604,SRR047147,G_DNA_Palatine Tonsils,765074482.0
462,700105425,SRR047149,G_DNA_Hard palate,763557224.0
463,700106679,SRR047150,G_DNA_Throat,764224817.0
466,700103501,SRR047153,G_DNA_L_Retroauricular crease,132902142.0
467,700105057,SRR047154,G_DNA_R_Antecubital fossa,178713055.0
472,700105486,SRR047159,G_DNA_R_Antecubital fossa,643185023.0
473,700105055,SRR047160,G_DNA_L_Antecubital fossa,178713055.0
474,700105326,SRR047161,G_DNA_R_Retroauricular crease,516889361.0
476,700114421,SRR047163,G_DNA_R_Antecubital fossa,553359145.0
479,700105328,SRR047166,G_DNA_L_Antecubital fossa,516889361.0
481,700103291,SRR047168,G_DNA_L_Retroauricular crease,682449369.0
483,700105165,SRR047170,G_DNA_L_Retroauricular crease,612472597.0
484,700106719,SRR047171,G_DNA_R_Antecubital fossa,184349034.0
486,700105171,SRR047173,G_DNA_R_Antecubital fossa,612472597.0
490,700105330,SRR047177,G_DNA_R_Antecubital fossa,516889361.0
492,700103583,SRR047179,G_DNA_R_Antecubital fossa,863126187.0
495,700105804,SRR047182,G_DNA_R_Antecubital fossa,375450439.0
496,700103503,SRR047183,G_DNA_R_Retroauricular crease,132902142.0
499,700103243,SRR047186,G_DNA_Saliva,465578759.0
500,700100536,SRR040950,G_DNA_Mid vagina,159247771.0
501,700035549,SRR040951,G_DNA_Buccal mucosa,160158126.0
502,700032667,SRR040952,G_DNA_Throat,160016515.0
503,700033382,SRR040953,G_DNA_Stool,159450072.0
504,700015900,SRR040954,G_DNA_Supragingival plaque,159369152.0
505,700015902,SRR040955,G_DNA_Subgingival plaque,159369152.0
508,700102462,SRR040958,G_DNA_R_Retroauricular crease,160158126.0
509,700100077,SRR040959,G_DNA_Anterior nares,158721788.0
510,700100506,SRR040960,G_DNA_Buccal mucosa,159247771.0
511,700100534,SRR040961,G_DNA_Vaginal introitus,159247771.0
512,700015904,SRR040962,G_DNA_L_Retroauricular crease,159369152.0
513,700033408,SRR040963,G_DNA_Subgingival plaque,159450072.0
514,700032663,SRR040964,G_DNA_Attached/Keratinized gingiva,160016515.0
515,700100454,SRR040965,G_DNA_Throat,159369152.0
516,700100524,SRR040967,G_DNA_R_Antecubital fossa,159247771.0
517,700095750,SRR040968,G_DNA_Hard palate,160684109.0
518,700102989,SRR040969,G_DNA_Palatine Tonsils,159450072.0
519,700035547,SRR040970,G_DNA_Hard palate,160158126.0
520,700100067,SRR040971,G_DNA_Subgingival plaque,158721788.0
521,700034812,SRR040972,G_DNA_Attached/Keratinized gingiva,160582958.0
522,700100468,SRR040973,G_DNA_Anterior nares,159369152.0
524,700034802,SRR040975,G_DNA_Saliva,160582958.0
525,700100041,SRR040976,G_DNA_Stool,158721788.0
526,700102993,SRR040977,G_DNA_Supragingival plaque,159450072.0
527,700034806,SRR040978,G_DNA_Tongue dorsum,160582958.0
528,700032145,SRR040979,G_DNA_Saliva,159429842.0
529,700102460,SRR040980,G_DNA_L_Retroauricular crease,160158126.0
530,700033396,SRR040981,G_DNA_Hard palate,159450072.0
531,700033400,SRR040982,G_DNA_Attached/Keratinized gingiva,159450072.0
532,700032001,SRR040983,G_DNA_Saliva,159632143.0
533,700015890,SRR040984,G_DNA_Hard palate,159369152.0
534,700102999,SRR040985,G_DNA_R_Retroauricular crease,159450072.0
535,700015888,SRR040986,G_DNA_Tongue dorsum,159369152.0
537,700102405,SRR040988,G_DNA_R_Retroauricular crease,159490532.0
538,700032671,SRR040989,G_DNA_Subgingival plaque,160016515.0
539,700015896,SRR040990,G_DNA_Palatine Tonsils,159369152.0
540,700102411,SRR040991,G_DNA_Anterior nares,159490532.0
541,700095760,SRR040992,G_DNA_Supragingival plaque,160684109.0
542,700100057,SRR040993,G_DNA_Buccal mucosa,158721788.0
543,700095736,SRR040994,G_DNA_Stool,160684109.0
544,700107005,SRR040995,G_DNA_Anterior nares,159450072.0
545,700095748,SRR040996,G_DNA_Tongue dorsum,160684109.0
546,700034810,SRR040997,G_DNA_Buccal mucosa,160582958.0
547,700100053,SRR040998,G_DNA_Tongue dorsum,158721788.0
548,700033404,SRR040999,G_DNA_Throat,159450072.0
549,700100059,SRR041000,G_DNA_Attached/Keratinized gingiva,158721788.0
550,700032010,SRR041001,G_DNA_Hard palate,159632143.0
551,700035563,SRR041002,G_DNA_R_Retroauricular crease,160158126.0
556,700034885,SRR041007,G_DNA_L_Retroauricular crease,160542498.0
577,700035609,SRR041028,G_DNA_Tongue dorsum,160097436.0
580,700101883,SRR041031,G_DNA_Supragingival plaque,159591683.0
582,700015947,SRR041033,G_DNA_Buccal mucosa,159591683.0
605,700016973,SRR041057,G_DNA_Saliva,159571453.0
609,700033692,SRR041061,G_DNA_Attached/Keratinized gingiva,159551223.0
610,700015770,SRR041062,G_DNA_Subgingival plaque,159571453.0
612,700101881,SRR041064,G_DNA_Throat,159591683.0
624,700034891,SRR041076,G_DNA_R_Antecubital fossa,160542498.0
691,700101550,SRR041144,G_DNA_Buccal mucosa,159713063.0
712,700035625,SRR041165,G_DNA_L_Retroauricular crease,160097436.0
724,700034877,SRR041177,G_DNA_Palatine Tonsils,160542498.0
738,700015785,SRR041191,G_DNA_Anterior nares,159571453.0
743,700032157,SRR041196,G_DNA_Buccal mucosa,159429842.0
744,700033963,SRR041197,G_DNA_Throat,159510762.0
745,700101936,SRR041198,G_DNA_Palatine Tonsils,159611913.0
746,700100585,SRR041199,G_DNA_Subgingival plaque,159510762.0
747,700035665,SRR041200,G_DNA_Saliva,160137896.0
748,700099838,SRR041201,G_DNA_Buccal mucosa,158802708.0
749,700035675,SRR041202,G_DNA_Attached/Keratinized gingiva,160137896.0
750,700035416,SRR041203,G_DNA_Buccal mucosa,160056975.0
751,700035677,SRR041204,G_DNA_Palatine Tonsils,160137896.0
752,700032363,SRR041205,G_DNA_Subgingival plaque,159915365.0
753,700033965,SRR041206,G_DNA_Supragingival plaque,159510762.0
754,700035669,SRR041207,G_DNA_Tongue dorsum,160137896.0
755,700099848,SRR041208,G_DNA_Subgingival plaque,158802708.0
757,700034065,SRR041210,G_DNA_Throat,160340197.0
758,700100587,SRR041211,G_DNA_L_Retroauricular crease,159510762.0
759,700099844,SRR041212,G_DNA_Throat,158802708.0
760,700034230,SRR041213,G_DNA_Posterior fornix,160319967.0
761,700034063,SRR041214,G_DNA_Palatine Tonsils,160340197.0
762,700034077,SRR041215,G_DNA_R_Antecubital fossa,160340197.0
763,700034950,SRR041216,G_DNA_Supragingival plaque,160603188.0
764,700034834,SRR041217,G_DNA_Mid vagina,160582958.0
765,700033605,SRR041218,G_DNA_L_Retroauricular crease,159611913.0
766,700033603,SRR041219,G_DNA_Subgingival plaque,159611913.0
767,700033969,SRR041220,G_DNA_L_Retroauricular crease,159510762.0
768,700034061,SRR041221,G_DNA_Attached/Keratinized gingiva,160340197.0
769,700033589,SRR041222,G_DNA_Tongue dorsum,159611913.0
770,700034073,SRR041223,G_DNA_R_Retroauricular crease,160340197.0
771,700034944,SRR041224,G_DNA_Attached/Keratinized gingiva,160603188.0
772,700033601,SRR041225,G_DNA_Supragingival plaque,159611913.0
773,700034824,SRR041226,G_DNA_R_Retroauricular crease,160582958.0
774,700035695,SRR041227,G_DNA_Vaginal introitus,160137896.0
775,700032357,SRR041228,G_DNA_Palatine Tonsils,159915365.0
776,700033967,SRR041229,G_DNA_Subgingival plaque,159510762.0
777,700032351,SRR041230,G_DNA_Hard palate,159915365.0
779,700100559,SRR041232,G_DNA_Stool,159510762.0
780,700101930,SRR041233,G_DNA_Hard palate,159611913.0
781,700035671,SRR041234,G_DNA_Hard palate,160137896.0
782,700032370,SRR041235,G_DNA_L_Antecubital fossa,159915365.0
784,700100581,SRR041237,G_DNA_Throat,159510762.0
785,700032172,SRR041238,G_DNA_Subgingival plaque,159429842.0
786,700035953,SRR041239,G_DNA_Stool,160259276.0
787,700034220,SRR041240,G_DNA_L_Antecubital fossa,160319967.0
788,700034832,SRR041241,G_DNA_Vaginal introitus,160582958.0
789,700100567,SRR041242,G_DNA_Saliva,159510762.0
790,700101916,SRR041243,G_DNA_Stool,159611913.0
791,700101928,SRR041244,G_DNA_Tongue dorsum,159611913.0
792,700100579,SRR041245,G_DNA_Palatine Tonsils,159510762.0
793,700032175,SRR041246,G_DNA_L_Retroauricular crease,159429842.0
794,700099822,SRR041247,G_DNA_Stool,158802708.0
795,700032169,SRR041248,G_DNA_Supragingival plaque,159429842.0
796,700099858,SRR041249,G_DNA_Anterior nares,158802708.0
797,700032380,SRR041250,G_DNA_Posterior fornix,159915365.0
798,700033961,SRR041251,G_DNA_Palatine Tonsils,159510762.0
799,700101942,SRR041252,G_DNA_Subgingival plaque,159611913.0
800,700032355,SRR041253,G_DNA_Attached/Keratinized gingiva,159915365.0
801,700034188,SRR041254,G_DNA_Stool,160319967.0
802,700033959,SRR041255,G_DNA_Attached/Keratinized gingiva,159510762.0
803,700034051,SRR041256,G_DNA_Saliva,160340197.0
804,700034204,SRR041257,G_DNA_Buccal mucosa,160319967.0
805,700032359,SRR041258,G_DNA_Throat,159915365.0
807,700033593,SRR041260,G_DNA_Buccal mucosa,159611913.0
808,700032178,SRR041261,G_DNA_R_Retroauricular crease,159429842.0
809,700035699,SRR041262,G_DNA_Posterior fornix,160137896.0
810,700100589,SRR041263,G_DNA_R_Retroauricular crease,159510762.0
811,700033591,SRR041264,G_DNA_Hard palate,159611913.0
812,700034216,SRR041265,G_DNA_L_Retroauricular crease,160319967.0
813,700099850,SRR041266,G_DNA_L_Retroauricular crease,158802708.0
814,700099830,SRR041267,G_DNA_Saliva,158802708.0
816,700106645,SRR047188,G_DNA_Anterior nares,763982056.0
818,700105433,SRR047190,G_DNA_Throat,763557224.0
819,700103587,SRR047191,G_DNA_Saliva,863126187.0
821,700103637,SRR047193,G_DNA_Throat,765094712.0
822,700114293,SRR047331,G_DNA_L_Antecubital fossa,763638144.0
823,700114985,SRR047332,G_DNA_R_Antecubital fossa,103092734.0
824,700114353,SRR047333,G_DNA_Saliva,765560005.0
825,700114468,SRR047334,G_DNA_Buccal mucosa,764042746.0
826,700114244,SRR047335,G_DNA_Anterior nares,663835652.0
827,700113033,SRR047336,G_DNA_Anterior nares,764750800.0
828,700113073,SRR047337,G_DNA_Saliva,764872181.0
829,700114643,SRR047338,G_DNA_R_Antecubital fossa,763901136.0
830,700114319,SRR047339,G_DNA_Throat,763638144.0
832,700114931,SRR047341,G_DNA_Anterior nares,561079058.0
833,700114295,SRR047342,G_DNA_R_Antecubital fossa,763638144.0
834,700114309,SRR047343,G_DNA_Tongue dorsum,763638144.0
836,700114321,SRR047345,G_DNA_Supragingival plaque,763638144.0
837,700114297,SRR047346,G_DNA_Anterior nares,763638144.0
838,700114464,SRR047347,G_DNA_Tongue dorsum,764042746.0
839,700114191,SRR047348,G_DNA_Saliva,289996019.0
841,700015677,SRR047518,G_DNA_Anterior nares,158924089.0
842,700016174,SRR047519,G_DNA_L_Antecubital fossa,159146620.0
843,700016085,SRR047520,G_DNA_R_Antecubital fossa,158964549.0
844,700016321,SRR047521,G_DNA_Hard palate,159085930.0
845,700016083,SRR047522,G_DNA_L_Antecubital fossa,158964549.0
846,700016337,SRR047523,G_DNA_R_Retroauricular crease,159085930.0
851,700014988,SRR047528,G_DNA_Throat,158822939.0
852,700033480,SRR047529,G_DNA_L_Retroauricular crease,159470302.0
855,700015292,SRR047532,G_DNA_R_Retroauricular crease,158802708.0
856,700015665,SRR047533,G_DNA_L_Retroauricular crease,158924089.0
857,700033029,SRR047534,G_DNA_L_Antecubital fossa,159247771.0
866,700038769,SRR047576,G_DNA_Hard palate,508703490.0
867,700038624,SRR047577,G_DNA_Anterior nares,404239096.0
868,700038938,SRR047578,G_DNA_Subgingival plaque,355657046.0
869,700038978,SRR047580,G_DNA_Stool,370027359.0
870,700038767,SRR047581,G_DNA_Tongue dorsum,508703490.0
877,700023782,SRR047618,G_DNA_Throat,763901136.0
878,700037435,SRR047619,G_DNA_Anterior nares,765276783.0
880,700021908,SRR047621,G_DNA_Throat,763820215.0
881,700038892,SRR047622,G_DNA_L_Retroauricular crease,861967750.0
884,700024527,SRR047625,G_DNA_Hard palate,764002286.0
885,700024617,SRR047626,G_DNA_Saliva,764325968.0
887,700114078,SRR047680,G_DNA_Attached/Keratinized gingiva,764062976.0
888,700105290,SRR047681,G_DNA_Tongue dorsum,764325968.0
889,700105749,SRR047682,G_DNA_Buccal mucosa,764447348.0
891,700105757,SRR047684,G_DNA_Supragingival plaque,764447348.0
892,700103682,SRR047685,G_DNA_Buccal mucosa,763759525.0
896,700105751,SRR047689,G_DNA_Attached/Keratinized gingiva,764447348.0
897,700023999,SRR047690,G_DNA_Vaginal introitus,764184357.0
898,700103253,SRR047691,G_DNA_Attached/Keratinized gingiva,465578759.0
900,700106892,SRR047693,G_DNA_Throat,764811490.0
901,700103627,SRR047694,G_DNA_Tongue dorsum,765094712.0
902,700103601,SRR047695,G_DNA_Throat,863126187.0
903,700106095,SRR047696,G_DNA_Saliva,737052003.0
904,700106093,SRR047697,G_DNA_Stool,737052003.0
905,700103247,SRR047698,G_DNA_Tongue dorsum,465578759.0
906,700106362,SRR047699,G_DNA_Saliva,289996019.0
907,700106888,SRR047700,G_DNA_Attached/Keratinized gingiva,764811490.0
908,700106978,SRR047701,G_DNA_Stool,147406386.0
909,700106837,SRR047702,G_DNA_Stool,764143897.0
910,700106695,SRR047703,G_DNA_Stool,764224817.0
916,700015674,SRR049324,G_DNA_R_Antecubital fossa,158924089.0
917,700016323,SRR049325,G_DNA_Buccal mucosa,159085930.0
920,700038600,SRR049340,G_DNA_Tongue dorsum,404239096.0
921,700038614,SRR049342,G_DNA_Subgingival plaque,404239096.0
927,700024713,SRR049353,G_DNA_Saliva,764508039.0
929,700023656,SRR049355,G_DNA_L_Retroauricular crease,764062976.0
930,700105386,SRR049376,G_DNA_Palatine Tonsils,764487809.0
931,700103603,SRR049377,G_DNA_Supragingival plaque,863126187.0
932,700105590,SRR049378,G_DNA_Anterior nares,765074482.0
933,700105662,SRR049379,G_DNA_Throat,953045535.0
934,700105224,SRR049388,G_DNA_R_Retroauricular crease,763820215.0
935,700106900,SRR049389,G_DNA_R_Retroauricular crease,764811490.0
936,700114149,SRR049390,G_DNA_R_Retroauricular crease,763840445.0
937,700114090,SRR049391,G_DNA_L_Retroauricular crease,764062976.0
938,700103468,SRR049392,G_DNA_L_Retroauricular crease,763860675.0
939,700103645,SRR049393,G_DNA_R_Retroauricular crease,765094712.0
940,700106188,SRR049394,G_DNA_L_Retroauricular crease,823052294.0
941,700105846,SRR049395,G_DNA_L_Retroauricular crease,763516763.0
942,700114041,SRR049396,G_DNA_R_Retroauricular crease,763395383.0
943,700105396,SRR049397,G_DNA_R_Retroauricular crease,764487809.0
944,700106263,SRR049398,G_DNA_R_Retroauricular crease,675950834.0
945,700106898,SRR049399,G_DNA_L_Retroauricular crease,764811490.0
